Title,Year,Pages,goodreads_rating
Carrie,1974,199,3.98
'Salem's Lot,1975,439,4.05
The Shining,1977,447,4.26
Rage,1977,211,3.74
Night Shift,1978,336,4.03
The Stand,1978,823,4.34
The Long Walk,1979,384,4.09
The Dead Zone,1979,428,3.96
Firestarter,1980,426,3.91
Roadwork,1981,274,3.6
Danse Macabre,1981,400,3.66
Cujo,1981,319,3.77
The Running Man,1982,219,3.98
The Dark Tower: The Gunslinger,1982,224,3.93
Creepshow,1982,64,4.07
Different seasons,1982,527,4.35
Christine,1983,526,3.83
Pet Sematary,1983,416,4.05
Cycle of the Werewolf,1983,127,3.66
The Talisman,1984,646,3.8
Thinner,1984,309,3.76
Skeleton Crew,1985,512,3.97
The Bachman Books,1985,692,4.14
It,1986,1142,4.25
The Eyes of the Dragon,1987,326,3.94
The Dark Tower II: The Drawing of the Three,1987,400,4.23
Misery,1987,320,4.21
The Tommyknockers,1987,558,3.58
Nightmares in the Sky,1988,128,4.03
The Dark Half,1989,431,3.8
Four Past Midnight,1990,763,3.95
The Dark Tower III: The Waste Lands,1991,512,4.25
Needful Things,1991,690,3.96
Gerald's Game,1992,352,3.56
Dolores Claiborne,1992,305,3.91
Nightmares & Dreamscapes,1993,816,3.95
Insomnia,1994,832,3.83
Rose Madder,1995,432,3.74
The Green Mile,1996,400,4.47
Desperation,1996,704,3.85
The Regulators,1996,480,3.72
Six Stories,1997,199,3.71
The Dark Tower IV: Wizard and Glass,1997,787,4.26
Bag of Bones,1998,529,3.92
Storm of the Century,1999,400,3.95
The Girl Who Loved Tom Gordon,1999,224,3.62
The New Lieutenant's Rap,1999,,3.6
Hearts in Atlantis,1999,528,3.85
Blood and Smoke,1999,,3.9
On Writing,2000,288,4.33
Secret Windows,2000,433,4.09
The Plant,2000,,3.59
Dreamcatcher,2001,620,3.65
Black House,2001,625,4.03
Everything's Eventual,2002,464,3.97
From a Buick 8,2002,368,3.47
The Dark Tower V: Wolves of the Calla,2003,714,4.19
The Dark Tower VI: Song of Susannah,2004,432,3.99
The Dark Tower VII: The Dark Tower,2004,845,4.27
The Colorado Kid,2005,184,3.38
Cell,2006,355,3.66
Lisey's Story,2006,528,3.7
Blaze,2007,304,3.75
Duma Key,2008,611,3.97
Just After Sunset,2008,367,3.88
Stephen King Goes to the Movies,2009,592,3.91
Ur,2009,,3.73
Under the Dome,2009,1074,3.91
Blockade Billy,2010,112,3.47
"Full Dark, No Stars",2010,368,4.07
Mile 81,2011,80,3.66
11/22/63,2011,849,4.33
The Dark Tower: The Wind Through the Keyhole,2012,336,4.15
A Face in the Crowd,2012,50,3.64
Joyland,2013,TBA,3.93
Doctor Sleep,2013,544,4.13
Mr. Mercedes,2014,435,4
Revival,2014,405,3.8
Finders Keepers,2015,434,4.06
The Bazaar of Bad Dreams,2015,495,3.92
End of Watch,2016,432,4.09
Gwendy's Button Box,2017,175,3.93
Sleeping Beauties,2017,702,3.73
The Outsider,2018,560,4
Elevation,2018,144,3.65
The Institute,2019,557,4.2
If It Bleeds,2020,446,4
Later,2021,256,3.99
Billy Summers,2021,528,4.22
Gwendy's Final Task,2022,412,4.11
Fairy Tale,2022,608,4.15
select Title, goodreads_rating
where goodreads_rating > 4;
